,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002416.SZ,信息技术,中小企业板,否,2010,45,50000000,117292167.7,平安证券股份有限公司,"网下询价,上网定价",21,-2.444444444,26.40752
002417.SZ,金融,中小企业板,否,2010,20,30000000,53769030,太平洋证券股份有限公司,"网下询价,上网定价",21,25.05,78.23704583
002418.SZ,工业,中小企业板,否,2010,19.98,36000000,59055259.31,国金证券股份有限公司,"网下询价,上网定价",21,-5.605605606,24.54917361
002419.SZ,可选消费,中小企业板,否,2010,40,50100000,90671900,招商证券股份有限公司,"网下询价,上网定价",21,-7.35,23.94407435
002420.SZ,可选消费,中小企业板,否,2010,13.8,63000000,56309545.23,国金证券股份有限公司,"网下询价,上网定价",21,6.956521739,73.00095635
002421.SZ,信息技术,中小企业板,否,2010,20.5,20000000,24600620.11,中国中投证券有限责任公司,"网下询价,上网定价",20,53.07317073,88.23135
002422.SZ,医疗保健,中小企业板,否,2010,83.36,60000000,229602779,国金证券股份有限公司,"网下询价,上网定价",20,7.533589251,76.345275
002423.SZ,工业,中小企业板,否,2010,9,79000000,37169900,海通证券股份有限公司,"网下询价,上网定价",20,11.77777778,79.55587816
002424.SZ,医疗保健,中小企业板,否,2010,40,37000000,98972704.59,宏源证券股份有限公司,"网下询价,上网定价",20,1.325,63.01482095
002425.SZ,信息技术,中小企业板,否,2010,22,27000000,42075962,海通证券股份有限公司,"网下询价,上网定价",21,13.22727273,80.61505093
002426.SZ,信息技术,中小企业板,否,2010,13.99,40100000,34883390,东吴证券股份有限公司,"网下询价,上网定价",21,30.09292352,84.99916147
002427.SZ,材料,中小企业板,否,2010,13.5,46000000,35763500,国信证券股份有限公司,"网下询价,上网定价",21,20.59259259,83.6045625
002428.SZ,材料,中小企业板,否,2010,30,32000000,61684798.92,招商证券股份有限公司,"网下询价,上网定价",21,102,89.50155859
002429.SZ,可选消费,中小企业板,否,2010,30,56000000,50997700,国信证券股份有限公司,"网下询价,上网定价",20,10.03333333,75.30471652
002430.SZ,工业,中小企业板,否,2010,18,71000000,40660000,华融证券股份有限公司,"网下询价,上网定价",20,34.77777778,83.40173239
002431.SZ,工业,中小企业板,否,2010,45,30000000,78655227,国金证券股份有限公司,"网下询价,上网定价",20,49.2,77.34801667
002432.SZ,医疗保健,中小企业板,否,2010,19.38,31000000,31950000,新时代证券股份有限公司,"网下询价,上网定价",20,37.30650155,76.57204839
002433.SZ,医疗保健,中小企业板,否,2010,29.82,25000000,64270000,广发证券股份有限公司,"网下询价,上网定价",24,9.926224011,71.098205
002434.SZ,可选消费,中小企业板,否,2010,30,42500000,64785500,国信证券股份有限公司,"网下询价,上网定价",24,4.033333333,68.93465
002435.SZ,工业,中小企业板,否,2010,15.5,33000000,54580977.53,国海证券股份有限公司,"网下询价,上网定价",24,15.16129032,73.803375
002436.SZ,信息技术,中小企业板,否,2010,36.5,27930000,52834700,华泰联合证券有限责任公司,"网下询价,上网定价",24,1.178082192,61.6198532
002437.SZ,医疗保健,中小企业板,否,2010,50,35000000,81468400,国信证券股份有限公司,"网下询价,上网定价",26,18.66,84.40347143
002438.SZ,工业,中小企业板,否,2010,22,26000000,39267000,华泰证券股份有限公司,"网下询价,上网定价",26,38.04545455,87.08662981
002439.SZ,信息技术,中小企业板,否,2010,25,25000000,35992557.42,中德证券有限责任公司,"网下询价,上网定价",26,28.32,79.522045
002440.SZ,材料,中小企业板,否,2010,31.2,73820000,160703541.9,海通证券股份有限公司,"网下询价,上网定价",26,-5.128205128,27.26096248
002441.SZ,工业,中小企业板,否,2010,39.9,29000000,61584000,中信证券股份有限公司,"网下询价,上网定价",26,-3.05764411,31.33003017
002442.SZ,材料,中小企业板,否,2010,12.5,50000000,42998400,国信证券股份有限公司,"网下询价,上网定价",26,20.88,84.9208
002443.SZ,材料,中小企业板,否,2010,22,33500000,30217653,安信证券股份有限公司,"网下询价,上网定价",26,-0.181818182,39.27440299
002444.SZ,工业,中小企业板,否,2010,29,63500000,80101800,第一创业证券股份有限公司,"网下询价,上网定价",21,-5.344827586,25.16845866
002445.SZ,可选消费,中小企业板,否,2010,18.8,31000000,35318000,国信证券股份有限公司,"网下询价,上网定价",21,7.180851064,74.8564879
002446.SZ,信息技术,中小企业板,否,2010,17.82,26000000,33295000,西部证券股份有限公司,"网下询价,上网定价",21,17.56453423,79.93446635
002447.SZ,可选消费,中小企业板,否,2010,28.98,17000000,30853029.81,平安证券股份有限公司,"网下询价,上网定价",21,45.96273292,87.02777206
002448.SZ,可选消费,中小企业板,否,2010,21.8,23500000,39551000,国信证券股份有限公司,"网下询价,上网定价",21,83.48623853,91.0418883
002449.SZ,信息技术,中小企业板,否,2010,28,55000000,57449900,广发证券股份有限公司,"网下询价,上网定价",21,1.285714286,58.53715455
002450.SZ,材料,中小企业板,否,2010,14.2,40400000,35843626.15,申万宏源证券有限公司,"网下询价,上网定价",21,41.1971831,87.52172649
002451.SZ,工业,中小企业板,否,2010,10,36600000,27127902.42,南京证券股份有限公司,"网下询价,上网定价",21,65.2,86.25016052
